,labels,target,yt8m_id,yt_id
38,"[60, 82, 160, 166, 273, 696, 888, 1423]",outdoors,rjbw,fTtcPpWFnm4
39,"[11, 83, 262, 601, 720, 1081]",outdoors,wUbw,E3kZb2lGSJE
40,"[60, 353, 1765]",outdoors,jgbw,aoEfxBfAyUo
41,"[60, 1396]",outdoors,Qvbw,gmys26Pvbzo
42,"[191, 248]",outdoors,Szbw,HdPmDPnb7go
43,[248],outdoors,Ifbw,1Sid-sN56Rk
44,"[2, 60, 76, 385, 419, 995]",outdoors,eNbw,VRWdfIR8UrU
45,"[15, 18, 43, 59, 60, 101, 286, 374, 549, 906, 1415]",outdoors,f8bx,eMOgaP7BHp4
46,"[88, 184, 307, 380, 514]",indoors,GZbx,5zE1Q5-07FI
47,"[184, 375, 380, 420, 2039]",indoors,UJbx,3nyxgYn0AAY
48,"[88, 184, 299, 380, 416, 571]",indoors,Dubx,tafODixgfXc
49,"[60, 239, 686, 1714]",outdoors,Rubx,ca8GoC9Z5O0
50,"[18, 43, 59, 60, 101]",outdoors,M5bx,QhnttxHCjh4
51,"[205, 1245]",indoors,Jibx,TXKtX_MZI3E
52,"[15, 262, 1057, 1835]",outdoors,Z0bx,uhZJk8XiVH0
53,"[11, 20, 22, 307, 1265]",indoors,0Ibx,1ErqsWKpDmk
54,"[15, 60, 239, 363, 533, 1816]",outdoors,tnbx,HcmCrwVmHAg
55,"[18, 43, 59, 60, 101, 2735]",outdoors,vdbx,_J4FMrnazZ4
56,"[79, 248]",outdoors,WDbx,8YWh_bhtVQA
57,"[88, 307, 1013]",indoors,Nwbx,N3j5u1NWrSg
58,[248],outdoors,HUbx,7Qh2M6-V3Ug
59,"[184, 380, 400, 1608]",indoors,cxbx,3M2bsfDRWK4
60,"[18, 43, 59, 60, 101, 549, 693, 906]",outdoors,ZZbF,qO3zsou9v7A
61,"[60, 239]",outdoors,MjbF,ME2m5mXzP5U
62,"[15, 60, 186, 239, 2785]",outdoors,oYbF,QuCXX8Y47Kg
63,"[43, 248, 428]",outdoors,ULbF,_bxzX5LsVdQ
64,"[11, 262, 751]",outdoors,wgbF,QoerZ2rsw-8
65,"[43, 60, 101, 1032]",outdoors,cQbF,QjnyciEXeSY
66,"[2, 186, 380]",indoors,ahbF,x2CwTgqyfDk
67,"[2, 186, 666]",outdoors,DNbF,yCV1QmoConU
68,"[2, 30, 55, 60, 428]",outdoors,QIbF,-7_u703YfXM
69,"[60, 160]",outdoors,4zbF,YYV3Z8pftFY
70,"[2, 18, 43, 59, 60, 76, 101, 286, 385, 1415]",outdoors,k2bF,3cZBzlvbB2k
71,[248],outdoors,1JbF,3eSdQdqyY_4
72,"[15, 60, 239, 363, 1098, 1452]",outdoors,UXbF,533sW4zeXQo
73,"[43, 60]",outdoors,P4bF,JNf1gOlMOTI
74,"[60, 166, 333, 398]",outdoors,ZabF,Nt91xuk9Ui0
75,"[88, 184, 380]",indoors,fRbF,TLeEv2hBRJU
76,"[15, 18, 43, 59, 60, 101]",outdoors,BMbF,609GkCi-fZU
77,"[60, 333, 398, 501]",outdoors,TAbK,ee1E0DVTggM
78,"[60, 68, 72, 98, 240]",outdoors,g1bK,po0dYr3t508
79,"[182, 248]",outdoors,B6bK,EYmlMvHaynw
80,[1226],outdoors,cFbK,Jc5eM_0217k
81,"[11, 15, 18, 60, 67, 519]",outdoors,UwbK,iB38IiCFggA
82,"[88, 184, 307, 364]",indoors,PpbK,tmJB7n3Lffs
83,"[307, 2305]",indoors,TfbK,19HAfwFSGPk
84,"[60, 166, 398, 482]",outdoors,eVbK,YBvmKvx36T8
85,"[88, 184, 1013]",indoors,KQbK,VfKM2MZEsRE
86,"[514, 1148, 2177, 2473]",indoors,hfbK,RYeFBtBNgX4
87,"[43, 60, 101, 286]",outdoors,XQbK,gm-2bPHMR5Q
88,[248],outdoors,SAbK,bE4eba6qOM8
89,"[18, 43, 59, 60, 101]",outdoors,GhbK,ZbusCt1XIcM
90,"[60, 166, 398, 482]",outdoors,RGbK,PKVR8epcPs8
91,"[60, 428, 519, 995]",outdoors,1AbK,sNz9PUD86eg
92,[248],outdoors,vTbX,mLW_d2dpDJM
93,"[18, 43, 59, 60, 101, 286]",outdoors,1ubX,uGL48fkL4O4
94,"[514, 1443]",indoors,70bX,hGVat0nflVQ
95,"[18, 87, 248]",outdoors,b0bX,yPX0S48xviM
96,"[60, 353, 642, 669, 673, 3553]",outdoors,FYbX,08OVk5b8KQE
97,"[21, 23, 24, 288, 1245]",indoors,rzbX,X2UJQ_UrPW4
98,"[2, 43, 60, 76, 549]",outdoors,0nbX,_TFqMuDpT5Y
99,"[60, 72, 98, 151]",outdoors,iPbX,18yDlra1DtE
100,"[60, 519, 794, 995]",outdoors,EbbX,jOdt36svNvk
101,"[83, 262, 2953, 3230]",outdoors,0zbX,g3Eo7OZdfOo
102,"[60, 519, 666]",outdoors,tBbX,3OPlykc0Hmg
103,"[2, 7, 83, 262, 601]",outdoors,RAcs,4tEgmAzH_Ak
104,"[15, 262, 1057]",outdoors,elcs,xbpf9yf6rZY
105,"[60, 571]",outdoors,Zkcs,rQ-p0-6tQjw
106,"[2, 43, 60, 76, 101, 281]",outdoors,wtcs,_bNLh-TQT40
107,"[11, 514, 1148, 1203]",indoors,IDcs,TYaGhaOczTU
108,"[60, 239, 291]",outdoors,wscs,4VVi3pRFS7E
109,[184],indoors,ztcs,jfOdtlqyubs
110,[60],outdoors,jlcs,YBXF5s83hk4
111,"[191, 248, 299, 985]",outdoors,rRcs,MvZtkKlUGYI
112,"[60, 353, 673]",outdoors,A4cs,fWpToz6u2Fc
113,[60],outdoors,ypcs,S24cuMXnzeg
114,"[182, 248]",outdoors,gmcs,P-wQxJ3PA9o
115,"[11, 20, 22, 307, 341]",indoors,Ljcs,aF5lR4vXmw4
116,"[88, 184, 307, 380, 416, 614]",indoors,4acs,bMOsG_bFE7E
117,"[184, 3566]",indoors,dGcs,W0DpVh2Q2dQ
118,"[88, 191, 248]",outdoors,6Qc4,-g6wujr_zI8
119,"[88, 184, 364, 380]",indoors,oIc4,hK0AYpI8cww
120,"[19, 53, 58, 60, 214, 494]",outdoors,eNc4,rto_TTNXUg0
121,"[0, 83, 254, 262, 542]",outdoors,YSc4,qswpE7wmwII
122,"[15, 60, 239, 686, 1714]",outdoors,lpc4,9y6s9CKOCzQ
123,"[400, 952, 3501]",indoors,NRc4,BOPreQ7OI_Y
124,"[60, 1002]",outdoors,1Kc4,8Qw8fty9AiI
125,"[11, 20, 22, 29, 32, 120, 122, 303, 307, 679]",indoors,tNc4,zjtdZ82fkdQ
126,[248],outdoors,2lc4,IDJLcl9JvEU
127,"[53, 58, 60, 163, 232]",outdoors,G9c4,0Qul48q1DNE
128,"[18, 43, 59, 60, 101]",outdoors,vjc4,357GTNW4Zis
129,"[2, 43, 60, 76, 101, 281, 419, 991]",outdoors,5Cc4,gi1dXYvT4IQ
130,"[88, 184, 364, 514, 614]",indoors,wMc4,fioQicfkFjk
131,"[18, 43, 59, 248, 374]",outdoors,INc4,cRQPfiGlgek
132,"[88, 184, 307, 364, 1013]",indoors,vmda,XgzkNB9xbWA
133,"[88, 184, 307, 416]",indoors,snda,yi5ABf9he2U
134,"[15, 18, 43, 59, 60, 374, 549]",outdoors,CIda,0-Kb3g2z4hk
135,"[60, 66, 909]",outdoors,2yda,0WH3U4Bs69Q
136,[1238],outdoors,62da,VYouNt-smM4
137,"[60, 1396]",outdoors,Vnda,Cmrz9iX55Mo
138,"[2, 43, 60, 76, 101, 286, 385]",outdoors,7uda,ReT4tiBka_E
139,"[18, 43, 59, 60, 101, 286, 419, 1685]",outdoors,9Cda,-B1m7HoUpUM
140,"[88, 184, 191, 299, 364, 380, 416, 614]",indoors,8ada,cNEdqUb6vmk
141,"[18, 43, 59, 60, 101, 419]",outdoors,49da,7m6pv-TZN28
142,"[15, 60, 96, 239, 789, 1626, 1795]",outdoors,tUda,SRiNvJZbw8o
143,[248],outdoors,Inda,18dLF5lLoQ0
144,"[15, 60, 239, 363, 2071]",outdoors,4Fda,Beq4P5Ffnus
145,"[43, 60, 101]",outdoors,Fjda,4hIVnwyogPw
146,"[15, 18, 60, 67, 239, 666]",outdoors,svda,Uj2UJAau6B4
147,"[88, 184, 307, 416, 497, 514, 899]",indoors,VAda,8uBgrY6PnK4
148,[60],outdoors,veda,dIW7TsWUvYg
149,"[60, 365]",outdoors,usda,_LwXKr-b5-s
150,"[43, 60, 101, 419]",outdoors,qCda,xNwMIxxRWtQ
151,"[43, 60, 101]",outdoors,zSdw,rcD_Iet93iM
152,"[60, 333, 365]",outdoors,gVdw,SrtIvhqNx54
153,"[15, 18, 170, 314, 514, 2882]",indoors,Mkdw,c9kIRjBaVdI
154,"[43, 60, 101]",outdoors,bEdw,chBu1urpHv4
155,"[60, 669]",outdoors,evdw,z7MK9R2AqI4
156,"[18, 43, 59, 60, 101]",outdoors,WXdw,bejFJM0-OBQ
157,"[0, 60, 1056]",outdoors,zbdw,4kvlDCq-X2Y
158,"[307, 400, 1299]",indoors,OIdw,qGNDYBDn99w
159,[248],outdoors,lXdw,tzvZpG-QbUA
160,"[2, 18, 43, 59, 60, 76, 101, 286, 385]",outdoors,L7dw,2FG4z8lVBvU
161,"[380, 497]",indoors,IIdw,rp9ao2j0cEE
162,"[43, 60, 549, 693, 906]",outdoors,V6dw,U_vFBKDITmU
163,"[184, 191, 364]",indoors,nodw,mToFaZcwgKg
164,"[60, 1615]",outdoors,pzdw,29NOPSjiLX8
165,"[60, 353, 673]",outdoors,rLdw,MuYCWx2ldhw
166,[60],outdoors,o3dw,TqDZQ2GhICs
167,[1226],outdoors,0Wdw,DuYhGRixKU0
168,"[15, 18, 60, 87, 365, 545]",outdoors,Pxdw,sQvrvVR4wgQ
169,"[2, 43, 60, 76]",outdoors,5Pdw,9FNyQt8sbFY
170,"[60, 398]",outdoors,lndL,qXMB5jmrHys
171,"[80, 127, 184]",indoors,L9dL,MI0oc8vsuak
172,"[88, 184, 307, 380, 416, 614]",indoors,HodL,7EukVD-XUCs
173,"[43, 60, 101, 385, 549, 906]",outdoors,0EdL,P455b8KJhSs
174,"[2, 186, 1238, 1918]",outdoors,tldL,EiXLzTjRkUU
175,"[43, 248, 798, 971]",outdoors,B1dL,ONLVVG0pQMw
176,[184],indoors,tKdL,WAZZIpiSw-Y
177,"[83, 262, 542, 820]",outdoors,0ddL,1IDwhbvITGY
178,"[43, 60, 101, 286, 374, 549]",outdoors,Q9dL,paVNS9TsKbs
179,"[11, 83, 262, 541, 820]",outdoors,tCdL,LTBj4Te5kFM
180,"[18, 43, 59, 60, 101, 286]",outdoors,ChdL,0G77QwT-rf4
181,"[15, 18, 87, 262]",outdoors,h2dL,5Q9L6LLhvNc
182,"[307, 1299]",indoors,e1dL,Vz5yE2oXt1c
183,[184],indoors,Lbes,piWlr06aDKQ
184,"[307, 465]",indoors,lFes,UoS8mww0kJY
185,"[313, 1013, 1226]",outdoors,X4es,AGa_mWRFcV4
186,"[15, 262, 502, 619]",outdoors,K1es,u2d-zz-JU_E
187,"[60, 160, 166, 231, 491]",outdoors,Xqes,rFBh-Zgb6K0
188,"[2, 83, 262, 291]",outdoors,Yves,xJy75IPpeZA
189,"[15, 18, 60, 67, 96, 239, 2924, 3633]",outdoors,1hes,eDadifrVLeQ
190,"[184, 191, 985, 1803]",indoors,gJes,YCpJiJCRL3Y
191,"[11, 307]",indoors,qfes,N3ZlHscKEq8
192,"[53, 58, 60, 163, 166, 232]",outdoors,oxes,rkUXhS1Kxiw
193,"[18, 43, 59, 60, 101, 286, 374, 549, 571]",outdoors,cCes,rCH9ruapgg0
194,[248],outdoors,NQes,l2GChwuJdQc
195,"[313, 3501]",indoors,9ces,2XEBQKRk7yQ
196,"[60, 428, 1007, 2628]",outdoors,bweA,8B8q64wqS1M
197,"[11, 20, 307, 341, 1049, 1928]",indoors,KqeA,cnh7ykUeSHU
198,"[88, 184, 307, 313, 364, 380, 416, 514, 614, 899, 1013]",indoors,uneA,pn6gL4WYoNk
199,"[11, 20, 22, 29, 32, 122, 123, 211, 307, 426, 444]",indoors,uoeA,oBlO9RN4TKo
200,"[15, 262, 502, 619]",outdoors,xteA,9AoAuWkgF60
201,"[60, 166, 353, 519, 666, 669, 673, 3598]",outdoors,sQeA,zViKcdIuieY
202,"[15, 60, 239, 686, 1714, 1880]",outdoors,ireA,wa1RJKy-3Mo
203,"[402, 1238]",outdoors,iFeA,LyD1XKBRja0
204,"[2, 60]",outdoors,9yeA,zzVnvmmR-bk
205,"[400, 416, 1152, 1927]",indoors,EUeA,OseNfJZCWOg
206,"[248, 402, 1389]",outdoors,f7eA,Ow46B9atfzQ
207,"[60, 68, 72, 98, 240]",outdoors,doeA,QGbdEXy-5IY
208,"[60, 353, 673]",outdoors,epeA,kpmG29IMFag
209,"[43, 60]",outdoors,DteA,rMHhCdj_y6s
210,"[60, 385, 419]",outdoors,6zeA,rNH2WI9yqiw
211,"[53, 58, 60, 163, 232]",outdoors,XgeA,HsVWhiQ5M0o
212,"[18, 43, 59, 60, 101, 1415]",outdoors,XxeC,IPKXvUe_zf4
213,"[60, 166, 353]",outdoors,AyeC,05QMypPLfA0
214,"[60, 160, 231, 690]",outdoors,j6eC,_Z_pACRZCMQ
215,"[15, 18, 43, 59, 60, 101, 419]",outdoors,9zeC,MRw3FDIcOhY
216,"[2, 17, 19, 30, 55, 60, 143, 1014]",outdoors,JVeC,X6m5598lMSs
217,"[15, 18, 43, 59, 60, 101]",outdoors,8VeC,Faq2Z7kCSH4
218,"[43, 60]",outdoors,5xeC,Q8249pbtTt0
219,"[15, 262, 1057, 3018]",outdoors,WReC,wLhKLskW0eM
220,"[43, 101, 248]",outdoors,zLeC,y5srP5YEHpk
221,"[2, 60, 76, 385, 419, 571, 1055, 2696]",outdoors,1EeC,yLj6xYqi70A
222,"[60, 68, 72, 98, 151]",outdoors,zDeC,6lRzYqlYiNw
223,"[53, 58, 60, 163, 232]",outdoors,iXeC,I9segV-pKbc
224,"[43, 60, 101, 286, 374, 693, 873, 1503]",outdoors,gSeC,SJ2-6-QrxPM
225,"[60, 160, 284]",outdoors,U9eC,Tp5UYaOga3o
226,[1245],indoors,VOeC,ZFgLc5LgD4c
227,"[60, 239]",outdoors,HteC,tV25Wf54Nu4
228,[184],indoors,M8eC,v1UiVPdKEHU
229,"[262, 542]",outdoors,28eC,T9GNmqwopcI
230,"[307, 497]",indoors,aIeC,vyi2uvc4MO0
231,"[15, 262, 502, 619]",outdoors,mneC,nqsgaTlmMGU
232,"[11, 20, 22, 29, 32, 303, 307, 605, 2007]",indoors,yhe4,eMZNxTWBaoY
233,[1226],outdoors,WZe4,QQGZiGjaQVQ
234,"[88, 184, 307, 380, 416, 614]",indoors,kye4,QSPEYEEjsgg
235,"[18, 43, 59, 60, 101]",outdoors,cPe4,CvWHcme000s
236,"[11, 172, 262, 1186]",outdoors,UNe4,sXY9chwQmd4
237,"[0, 1, 242, 254, 313, 1097, 2105]",outdoors,WOe4,MKJnN6exUPk
238,"[0, 60]",outdoors,OVe4,m2Y-_7P_9q8
239,"[15, 18, 43, 59, 60, 101, 286]",outdoors,p1e4,PjdEpue9Zis
240,"[0, 83, 254, 262, 542]",outdoors,qAe4,8M61b_2a1HU
241,"[0, 60, 1056, 1865]",outdoors,oUe4,3YxrAE0pJe8
242,"[2, 43, 60, 76]",outdoors,vue4,YpyYA0-T8QU
243,[248],outdoors,Bce4,kxWfApj1kEw
244,"[15, 18, 60, 87]",outdoors,JOe4,FpaXHbatLE8
245,"[15, 18, 60, 87, 365, 545, 1696, 1751]",outdoors,JQe5,nFeclZKL0nM
246,"[2, 7, 83, 262, 751, 804]",outdoors,hle5,rf5asP-3soI
247,"[43, 60, 101, 1975]",outdoors,VMe5,izIiOHopngI
248,"[60, 166, 398, 482, 664]",outdoors,MNe5,3KdUGIU3Vqs
249,"[2, 43, 60, 76, 473, 547]",outdoors,HPe5,_h3wNqXYH1c
250,"[2, 75, 83, 262, 1205, 3543]",outdoors,HDe5,H-fUWjRwpX0
251,"[15, 60, 239, 3633]",outdoors,aXe5,R4K7xJMdldA
252,"[88, 184, 380, 416, 614, 899]",indoors,wme5,MC3xoFyKxsk
253,"[60, 428, 1055]",outdoors,wee5,fET5iNmFV1k
254,"[307, 400, 497, 514, 1815, 2277, 2476]",indoors,VKe5,Oh66AKuOxec
255,"[53, 58, 60, 163, 232]",outdoors,pPe5,tVZwvkkQNlU
256,"[15, 18, 60, 87, 333, 365]",outdoors,bqe5,1SPkjugNoRs
257,"[15, 18, 60, 87, 333, 365]",outdoors,yve5,OyIHh9676no
258,[248],outdoors,DAe5,638iB2cKvo0
259,"[60, 519]",outdoors,mcfb,nT7OcLNi918
260,"[0, 1, 27, 262, 1613]",outdoors,C8fb,lOqt_MAsMLw
261,"[15, 262, 502, 619, 1835]",outdoors,81fb,IgldpwFpcDk
262,"[88, 184, 307, 380, 416]",indoors,80fb,BjmtxfpEZdE
263,"[1, 21, 23, 184]",indoors,jQfb,1wVN3H5fvWA
264,"[60, 398, 482, 664, 1563]",outdoors,vgfb,Ei_-DlO7s_k
265,"[184, 191, 227, 474, 985, 1807]",indoors,1tfb,i9AnOA10LjQ
266,"[11, 20, 22, 29, 307]",indoors,L4fb,4FAJCVXylcU
267,"[307, 1815]",indoors,g1fb,sm3dAsu736U
268,"[26, 184]",indoors,AJfb,VuODw0LSrm8
269,"[43, 60, 101, 549, 2490]",outdoors,9tfb,j8nTiCvqE1Y
270,"[53, 58, 60, 228]",outdoors,YPfb,mThApSZbPvc
271,"[14, 262, 3230]",outdoors,cqfb,o-yuX8IByWo
272,[248],outdoors,7ofb,IBBKywjYLuY
273,"[88, 184, 307, 313, 380, 416, 514, 614]",indoors,Ftfb,4fWEbn1EXGQ
274,"[18, 43, 59, 101, 248, 668, 873]",outdoors,Gjfb,_EYPBVUO_yc
275,"[60, 160, 273]",outdoors,lgfb,LYDAEG58jPc
276,"[2, 18, 43, 59, 60, 76, 374, 385, 549]",outdoors,KWfb,9gl0nhhcIo0
277,"[60, 1271, 1393]",outdoors,hhfb,W4aNbAN8f6U
278,"[18, 43, 59, 60, 101]",outdoors,LGfb,H7URbSALUD8
279,"[60, 160, 273, 888]",outdoors,Vtfb,2WzeCheXUD4
280,"[191, 248]",outdoors,ElfE,eiNWZKQT_cE
281,[248],outdoors,0cfE,WeY3dzsEoZk
282,"[43, 60, 642]",outdoors,tXfE,Y1rTWkyuqXg
283,[184],indoors,PvfE,ZXPy89yPbzs
284,"[88, 184]",indoors,DmfE,XYm5hJfJaFo
285,"[15, 18, 60, 87, 365]",outdoors,93fE,gQUl8_ppOSM
286,"[2, 7, 83, 262, 541]",outdoors,JvfE,6o37qXI2chE
287,"[60, 82, 160, 273, 888, 1423]",outdoors,TrfE,daw5IlKY698
288,"[2, 7, 88, 184, 364, 380, 416]",indoors,mGfE,4d7PN7RF084
289,"[88, 184, 307, 380, 416]",indoors,kzfE,jluEDplQCYs
290,"[60, 353]",outdoors,mpfE,Q0-gHQXB7CE
291,"[307, 400]",indoors,b3fE,E1ImU-Rgl4s
292,[184],indoors,IqfE,gikgj6I4nZc
293,"[2, 18, 43, 59, 60, 76, 385, 549, 693, 1415]",outdoors,PMfE,0FQeMeSpE_M
294,"[2, 83, 262]",outdoors,9xfE,yZFQn9C5IeU
295,"[60, 419, 1393]",outdoors,GafE,FrdfYw05tR0
296,"[15, 18, 60, 67, 140, 1048]",outdoors,NdfG,ejF9hQFoiw4
297,"[18, 43, 59, 60, 101, 286, 419, 1824]",outdoors,EHfG,RzPfIUuOoT0
298,[248],outdoors,WZfG,_BzvP6gvlWw
299,"[669, 1238]",outdoors,yofG,QXXI8iTFbD0
300,"[2, 60, 76, 385]",outdoors,gPfG,xdZ3qoiVX38
301,"[191, 248, 299]",outdoors,OrfG,ozI-X78owJM
302,"[15, 262, 605, 619, 1057, 1174]",outdoors,71fG,Smi9ljXrkkU
303,"[15, 18, 43, 59, 60, 549, 693, 906, 1503]",outdoors,fvfG,tzknyNi924A
304,"[88, 184]",indoors,v3fG,J0Elq04DtbQ
305,[1226],outdoors,rpfG,kRV9bl9g90I
306,"[184, 1947]",indoors,pLfG,kTxTUipLqLw
307,"[53, 58, 60, 166, 228]",outdoors,e9fG,gpvcGlf1xMY
308,"[2, 7, 95, 248, 912]",outdoors,7zfG,5eBel9E6R2s
309,"[43, 60, 709]",outdoors,PVfG,Gc5mIQ96lKI
310,[184],indoors,75fG,1RQoIzGOUMI
311,[248],outdoors,Y0fG,JAgH4joka08
312,"[43, 60, 166, 182, 901, 958]",outdoors,arfQ,St07BBAoRmU
313,"[184, 985]",indoors,ytfQ,BUe9AIEFKWw
314,"[60, 68, 72, 98]",outdoors,5BfQ,Jv60n7FKviM
315,"[184, 380, 400, 416, 614, 641]",indoors,lofQ,Q9FuHyoX7dQ
316,"[184, 191, 985]",indoors,RDfQ,8L1uV8-YBO4
317,"[15, 18, 43, 59, 60, 101, 1032]",outdoors,qofQ,GTBZfU55UHE
318,"[60, 166, 182, 901, 3160]",outdoors,EofQ,O9DshHaoFmY
319,"[0, 60, 432, 1056, 1865, 3204]",outdoors,RzfQ,WPyupODvLbI
320,"[18, 43, 59, 60, 101, 286, 374, 1415]",outdoors,mGfQ,M4bMWSK759g
321,"[514, 1148]",indoors,33fQ,M8SuJUq4XDc
322,"[2, 7, 88, 184, 380]",indoors,hhfQ,DN-kQgCOgzk
323,"[53, 58, 60, 163, 232]",outdoors,21fQ,lwjhBLVTWjo
324,"[2, 60, 76, 385, 419, 1569]",outdoors,gUfQ,5_C_DKVLLAA
325,[1226],outdoors,tqfQ,D_kkzk1J8Aw
326,"[60, 353, 519, 673, 3553]",outdoors,7CfQ,IDGImq0YBvw
327,"[2, 83, 262, 2126]",outdoors,59fQ,_PRVj8TyJ5E
328,"[88, 184, 251, 616]",indoors,ZKfQ,0RYW6L4a5XI
329,"[0, 208, 254, 262, 542]",outdoors,I1fQ,EATV4Inicfo
330,"[184, 750, 992]",indoors,U2fQ,a3s3D13maOQ
331,"[88, 307, 497]",indoors,0qfQ,FqJ8g5Bq36k
332,"[248, 428]",outdoors,Gsg3,edsY7tTrYCU
333,[248],outdoors,Fjg3,8AO_8cU1MAE
334,"[60, 419, 1271, 1393]",outdoors,pSg3,q-gPaFVKClY
335,"[88, 184]",indoors,Eig3,OS1d2lrEV2I
336,"[15, 18, 60, 87, 333, 536, 1751, 1938]",outdoors,4og3,ckJZ2JrG-ns
337,"[88, 184, 380, 416, 571]",indoors,pDg3,yd6t0hsm_i4
338,"[53, 58, 60, 163, 232, 427]",outdoors,L8g3,hEblNi6hcTE
339,"[60, 239]",outdoors,3Vg3,m2bXX7MOCMs
340,"[60, 160, 166, 231, 273, 398]",outdoors,9kg3,yRZd1TqcVAk
341,"[88, 184, 313, 364, 380, 416, 514, 614, 1013]",indoors,jdg3,yHv_klAzctg
342,"[2, 19, 60, 76, 2499]",outdoors,fLg3,GE-L2eL8dMQ
343,"[0, 83, 262, 542]",outdoors,yYg3,EkKoiNGKPbo
344,"[53, 58, 60, 163, 214, 232]",outdoors,zEg3,nbViZar-0TM
345,"[2, 60, 76, 385, 1055]",outdoors,Gjg3,QAIOHOtV6GY
346,"[2, 60, 76]",outdoors,ygg3,i709VxFCdmc
347,[248],outdoors,xUg3,Lh783mifm0w
348,"[400, 641, 3501]",indoors,MMg3,XXp1ddde09g
349,"[497, 514]",indoors,nng3,91AclyybHzU
350,"[60, 1537]",outdoors,c6g3,tMVc8xY8egQ
351,"[191, 248, 299, 1159]",outdoors,8vg3,gyteEIS2h6k
352,"[191, 248, 299]",outdoors,PBg3,49-MZQnVE-4
353,"[43, 60, 180, 873]",outdoors,XTg3,paQs_tmrEO4
354,"[88, 313, 380, 821, 1025, 2012, 2351]",indoors,L0g3,FUjgkrMbNn8
355,"[99, 184, 716]",indoors,1Wg3,gWOHocyj_OQ
356,"[184, 191]",indoors,sWg3,exmHetey3no
357,"[2, 7, 184, 307, 380, 402]",indoors,lFg3,IpXg9JmnY24
358,"[11, 20, 22, 29, 32, 120, 122, 173, 307, 406, 747, 892, 1489]",indoors,dAha,Boc316mmcBQ
359,"[88, 184, 380, 992, 1947, 2776]",indoors,XHha,X-doc-omfYk
360,"[2, 76, 248]",outdoors,Ogha,nmBcOco3qOs
361,"[88, 184, 364]",indoors,GTha,3D83CKi4r-k
362,"[18, 43, 59, 60, 101]",outdoors,pOha,ucGdDM4g87A
363,"[15, 18, 43, 59, 60, 101, 419, 549, 693, 3703]",outdoors,kjha,-vZ4SW8HQG4
364,"[60, 353, 419]",outdoors,5Uhl,cl6lopNIHyQ
